,temp,hum,heat,dewPoint,tiempo
287,21.3999996,14.3058807,21.266452800000003,64.0,1595636940000
288,21.2999992,14.2111712,21.1564522,64.0,1595637000000
289,21.2999992,14.2111712,21.1564522,64.0,1595637060000
290,21.2999992,14.451061,21.1825638,65.0,1595637120000
291,21.2999992,14.2111712,21.1564522,64.0,1595637180000
292,21.2999992,14.451061,21.1825638,65.0,1595637240000
293,21.5,14.400588199999998,21.3764515,64.0,1595637300000
294,21.2999992,14.2111712,21.1564522,64.0,1595637360000
295,21.2999992,14.2111712,21.1564522,64.0,1595637420000
296,21.2999992,14.2111712,21.1564522,64.0,1595637480000
297,21.2999992,14.2111712,21.1564522,64.0,1595637540000
298,21.2999992,14.2111712,21.1564522,64.0,1595637600000
299,23.8999996,16.6729846,24.0164242,64.0,1595637660000
300,21.2999992,14.2111712,21.1564522,64.0,1595637720000
301,21.2999992,14.2111712,21.1564522,64.0,1595637780000
302,21.2999992,14.2111712,21.1564522,64.0,1595637840000
303,21.2999992,14.2111712,21.1564522,64.0,1595637900000
304,21.3999996,14.062490900000002,21.240339300000002,63.0,1595637960000
305,21.2999992,14.2111712,21.1564522,64.0,1595638020000
306,21.2999992,14.2111712,21.1564522,64.0,1595638080000
307,21.3999996,14.3058807,21.266452800000003,64.0,1595638140000
308,21.2999992,14.2111712,21.1564522,64.0,1595638200000
309,21.2999992,14.2111712,21.1564522,64.0,1595638260000
310,21.2999992,14.2111712,21.1564522,64.0,1595638320000
311,21.2999992,13.9679604,21.130342499999998,63.0,1595638380000
312,21.3999996,14.3058807,21.266452800000003,64.0,1595638440000
313,21.2999992,14.2111712,21.1564522,64.0,1595638500000
314,21.2999992,14.2111712,21.1564522,64.0,1595638560000
315,21.2999992,14.2111712,21.1564522,64.0,1595638620000
316,21.2999992,14.2111712,21.1564522,64.0,1595638680000
317,21.2999992,14.2111712,21.1564522,64.0,1595638740000
318,21.2999992,14.2111712,21.1564522,64.0,1595638800000
319,21.2999992,14.451061,21.1825638,65.0,1595638860000
320,21.2999992,14.2111712,21.1564522,64.0,1595638920000
321,21.2999992,14.2111712,21.1564522,64.0,1595638980000
322,21.3999996,14.3058807,21.266452800000003,64.0,1595639040000
323,21.2999992,14.2111712,21.1564522,64.0,1595639160000
324,21.2999992,14.2111712,21.1564522,64.0,1595639220000
325,21.2999992,14.2111712,21.1564522,64.0,1595639280000
326,21.2999992,14.2111712,21.1564522,64.0,1595639340000
327,21.2999992,14.2111712,21.1564522,64.0,1595639400000
328,21.2999992,14.2111712,21.1564522,64.0,1595639460000
329,21.2999992,14.2111712,21.1564522,64.0,1595639520000
330,21.2999992,14.2111712,21.1564522,64.0,1595639580000
331,21.2999992,14.2111712,21.1564522,64.0,1595639640000
332,21.3999996,14.3058807,21.266452800000003,64.0,1595639700000
333,23.8999996,16.6729846,24.0164242,64.0,1595639760000
334,21.2999992,14.2111712,21.1564522,64.0,1595639820000
335,21.2999992,14.2111712,21.1564522,64.0,1595639880000
336,21.2999992,14.2111712,21.1564522,64.0,1595639940000
337,21.1000004,14.0217483,20.936460500000003,64.0,1595640000000
338,21.3999996,14.3058807,21.266452800000003,64.0,1595640060000
339,21.2999992,14.2111712,21.1564522,64.0,1595640120000
340,21.2999992,14.2111712,21.1564522,64.0,1595640180000
341,21.3999996,14.3058807,21.266452800000003,64.0,1595640240000
342,21.2999992,14.2111712,21.1564522,64.0,1595640300000
343,21.2999992,14.2111712,21.1564522,64.0,1595640360000
344,21.2999992,14.2111712,21.1564522,64.0,1595640420000
345,21.2999992,14.2111712,21.1564522,64.0,1595640480000
346,21.2999992,14.2111712,21.1564522,64.0,1595640540000
347,21.2999992,14.2111712,21.1564522,64.0,1595640600000
348,21.2999992,14.2111712,21.1564522,64.0,1595640660000
349,21.2999992,14.2111712,21.1564522,64.0,1595640720000
350,21.2999992,14.2111712,21.1564522,64.0,1595640780000
351,21.2999992,14.2111712,21.1564522,64.0,1595640840000
352,21.2999992,14.2111712,21.1564522,64.0,1595640900000
353,21.2999992,13.9679604,21.130342499999998,63.0,1595640960000
354,21.2999992,14.2111712,21.1564522,64.0,1595641020000
355,21.2999992,13.9679604,21.130342499999998,63.0,1595641080000
356,21.2999992,14.2111712,21.1564522,64.0,1595641140000
357,21.3999996,14.3058807,21.266452800000003,64.0,1595641200000
358,21.2999992,14.2111712,21.1564522,64.0,1595641260000
359,21.2999992,14.2111712,21.1564522,64.0,1595641320000
360,21.3999996,14.3058807,21.266452800000003,64.0,1595641380000
361,21.3999996,14.3058807,21.266452800000003,64.0,1595641440000
362,21.2999992,14.2111712,21.1564522,64.0,1595641500000
363,21.3999996,14.545947199999999,21.2925625,65.0,1595641560000
364,20.2999992,13.2639744,20.0564651,64.0,1595641620000
365,21.2999992,14.451061,21.1825638,65.0,1595641680000
366,21.2999992,14.2111712,21.1564522,64.0,1595641740000
367,21.2999992,14.2111712,21.1564522,64.0,1595641800000
368,15.8999996,9.0940257,15.2165146,64.0,1595641860000
369,21.2999992,14.6877258,21.2086735,66.0,1595641920000
370,21.2999992,14.2111712,21.1564522,64.0,1595641980000
371,21.2999992,13.9679604,21.130342499999998,63.0,1595642040000
372,21.2999992,13.9679604,21.130342499999998,63.0,1595642100000
373,21.3999996,14.3058807,21.266452800000003,64.0,1595642160000
374,21.2999992,14.2111712,21.1564522,64.0,1595642220000
375,21.2999992,14.2111712,21.1564522,64.0,1595642280000
376,21.2999992,14.2111712,21.1564522,64.0,1595642340000
377,21.2999992,14.2111712,21.1564522,64.0,1595642400000
378,21.2999992,14.2111712,21.1564522,64.0,1595642460000
379,21.2999992,14.2111712,21.1564522,64.0,1595642520000
380,21.2999992,14.2111712,21.1564522,64.0,1595642580000
381,21.3999996,14.3058807,21.266452800000003,64.0,1595642640000
382,21.2999992,14.2111712,21.1564522,64.0,1595642700000
383,21.2999992,14.2111712,21.1564522,64.0,1595642760000
384,21.2999992,14.2111712,21.1564522,64.0,1595642820000
385,21.2999992,14.2111712,21.1564522,64.0,1595642880000
386,21.2000008,14.116461600000001,21.0464573,64.0,1595642940000
387,23.8999996,16.6729846,24.0164242,64.0,1595643000000
388,21.3999996,14.3058807,21.266452800000003,64.0,1595643060000
389,21.3999996,14.3058807,21.266452800000003,64.0,1595643120000
390,21.2999992,14.2111712,21.1564522,64.0,1595643180000
391,21.3999996,14.3058807,21.266452800000003,64.0,1595643240000
392,21.3999996,14.3058807,21.266452800000003,64.0,1595643300000
393,21.3999996,14.3058807,21.266452800000003,64.0,1595643360000
394,21.2999992,14.2111712,21.1564522,64.0,1595643420000
395,21.3999996,14.3058807,21.266452800000003,64.0,1595643480000
396,21.3999996,14.3058807,21.266452800000003,64.0,1595643540000
397,153.5,137.7618864,2041.1612549000001,64.0,1595643600000
398,21.3999996,14.3058807,21.266452800000003,64.0,1595643660000
399,21.3999996,14.3058807,21.266452800000003,64.0,1595643720000
400,21.3999996,14.3058807,21.266452800000003,64.0,1595643780000
